,county,year,race,value
617,Pointe Coupee Parish,2008,Black or African American alone,17182
618,Pointe Coupee Parish,2009,Black or African American alone,16858
619,Pointe Coupee Parish,2010,Black or African American alone,16582
620,Pointe Coupee Parish,2011,Black or African American alone,16544
621,Pointe Coupee Parish,2012,Black or African American alone,16400
622,Pointe Coupee Parish,2013,Black or African American alone,15988
623,Pointe Coupee Parish,2014,Black or African American alone,15854
624,Pointe Coupee Parish,2015,Black or African American alone,15790
625,Pointe Coupee Parish,2016,Black or African American alone,15814
626,Pointe Coupee Parish,2017,Black or African American alone,15882
627,Pointe Coupee Parish,2018,Black or African American alone,15596
628,Pointe Coupee Parish,2019,Black or African American alone,15412
629,Pointe Coupee Parish,2020,Black or African American alone,15144
630,St. Bernard Parish,2000,Black or African American alone,10286
631,St. Bernard Parish,2001,Black or African American alone,11090
632,St. Bernard Parish,2002,Black or African American alone,11920
633,St. Bernard Parish,2003,Black or African American alone,12526
634,St. Bernard Parish,2004,Black or African American alone,13574
635,St. Bernard Parish,2005,Black or African American alone,14688
636,St. Bernard Parish,2006,Black or African American alone,4358
637,St. Bernard Parish,2007,Black or African American alone,6922
638,St. Bernard Parish,2008,Black or African American alone,9062
639,St. Bernard Parish,2009,Black or African American alone,11084
640,St. Bernard Parish,2010,Black or African American alone,13348
641,St. Bernard Parish,2011,Black or African American alone,15226
642,St. Bernard Parish,2012,Black or African American alone,16846
643,St. Bernard Parish,2013,Black or African American alone,18516
644,St. Bernard Parish,2014,Black or African American alone,19438
645,St. Bernard Parish,2015,Black or African American alone,20208
646,St. Bernard Parish,2016,Black or African American alone,20872
647,St. Bernard Parish,2017,Black or African American alone,21726
648,St. Bernard Parish,2018,Black or African American alone,22308
649,St. Bernard Parish,2019,Black or African American alone,22870
650,St. Bernard Parish,2020,Black or African American alone,23440
651,St. Charles Parish,2000,Black or African American alone,24422
652,St. Charles Parish,2001,Black or African American alone,24904
653,St. Charles Parish,2002,Black or African American alone,25576
654,St. Charles Parish,2003,Black or African American alone,25540
655,St. Charles Parish,2004,Black or African American alone,25706
656,St. Charles Parish,2005,Black or African American alone,26296
657,St. Charles Parish,2006,Black or African American alone,28020
658,St. Charles Parish,2007,Black or African American alone,28708
659,St. Charles Parish,2008,Black or African American alone,28654
660,St. Charles Parish,2009,Black or African American alone,28586
661,St. Charles Parish,2010,Black or African American alone,28262
662,St. Charles Parish,2011,Black or African American alone,28090
663,St. Charles Parish,2012,Black or African American alone,27966
664,St. Charles Parish,2013,Black or African American alone,27942
665,St. Charles Parish,2014,Black or African American alone,27880
666,St. Charles Parish,2015,Black or African American alone,27700
667,St. Charles Parish,2016,Black or African American alone,27968
668,St. Charles Parish,2017,Black or African American alone,27904
669,St. Charles Parish,2018,Black or African American alone,28088
670,St. Charles Parish,2019,Black or African American alone,28168
671,St. Charles Parish,2020,Black or African American alone,28052
672,St. Helena Parish,2000,Black or African American alone,11038
673,St. Helena Parish,2001,Black or African American alone,11084
674,St. Helena Parish,2002,Black or African American alone,11148
675,St. Helena Parish,2003,Black or African American alone,11078
676,St. Helena Parish,2004,Black or African American alone,11148
677,St. Helena Parish,2005,Black or African American alone,11096
678,St. Helena Parish,2006,Black or African American alone,12026
679,St. Helena Parish,2007,Black or African American alone,11890
680,St. Helena Parish,2008,Black or African American alone,11962
681,St. Helena Parish,2009,Black or African American alone,11978
682,St. Helena Parish,2010,Black or African American alone,12002
683,St. Helena Parish,2011,Black or African American alone,11720
684,St. Helena Parish,2012,Black or African American alone,11732
685,St. Helena Parish,2013,Black or African American alone,11518
686,St. Helena Parish,2014,Black or African American alone,11170
687,St. Helena Parish,2015,Black or African American alone,11112
688,St. Helena Parish,2016,Black or African American alone,11030
689,St. Helena Parish,2017,Black or African American alone,10848
690,St. Helena Parish,2018,Black or African American alone,10674
691,St. Helena Parish,2019,Black or African American alone,10618
692,St. Helena Parish,2020,Black or African American alone,10546
693,St. James Parish,2000,Black or African American alone,20990
694,St. James Parish,2001,Black or African American alone,21070
695,St. James Parish,2002,Black or African American alone,21220
696,St. James Parish,2003,Black or African American alone,21078
697,St. James Parish,2004,Black or African American alone,21002
698,St. James Parish,2005,Black or African American alone,21162
699,St. James Parish,2006,Black or African American alone,22128
700,St. James Parish,2007,Black or African American alone,22466
701,St. James Parish,2008,Black or African American alone,22258
702,St. James Parish,2009,Black or African American alone,22446
703,St. James Parish,2010,Black or African American alone,22322
704,St. James Parish,2011,Black or African American alone,21944
705,St. James Parish,2012,Black or African American alone,21534
706,St. James Parish,2013,Black or African American alone,21330
707,St. James Parish,2014,Black or African American alone,21250
708,St. James Parish,2015,Black or African American alone,21194
709,St. James Parish,2016,Black or African American alone,20994
710,St. James Parish,2017,Black or African American alone,20864
711,St. James Parish,2018,Black or African American alone,20646
712,St. James Parish,2019,Black or African American alone,20456
713,St. James Parish,2020,Black or African American alone,20074
714,St. John the Baptist Parish,2000,Black or African American alone,38926
715,St. John the Baptist Parish,2001,Black or African American alone,39530
716,St. John the Baptist Parish,2002,Black or African American alone,40238
717,St. John the Baptist Parish,2003,Black or African American alone,41364
718,St. John the Baptist Parish,2004,Black or African American alone,42720
719,St. John the Baptist Parish,2005,Black or African American alone,43800
720,St. John the Baptist Parish,2006,Black or African American alone,47956
721,St. John the Baptist Parish,2007,Black or African American alone,49528
722,St. John the Baptist Parish,2008,Black or African American alone,49546
723,St. John the Baptist Parish,2009,Black or African American alone,49518
724,St. John the Baptist Parish,2010,Black or African American alone,49226
725,St. John the Baptist Parish,2011,Black or African American alone,48806
726,St. John the Baptist Parish,2012,Black or African American alone,48894
727,St. John the Baptist Parish,2013,Black or African American alone,48052
728,St. John the Baptist Parish,2014,Black or African American alone,48596
729,St. John the Baptist Parish,2015,Black or African American alone,48802
730,St. John the Baptist Parish,2016,Black or African American alone,49104
731,St. John the Baptist Parish,2017,Black or African American alone,49582
732,St. John the Baptist Parish,2018,Black or African American alone,50028
733,St. John the Baptist Parish,2019,Black or African American alone,50070
734,St. John the Baptist Parish,2020,Black or African American alone,50142
735,St. Tammany Parish,2000,Black or African American alone,38424
736,St. Tammany Parish,2001,Black or African American alone,39822
737,St. Tammany Parish,2002,Black or African American alone,41830
738,St. Tammany Parish,2003,Black or African American alone,43488
739,St. Tammany Parish,2004,Black or African American alone,45844
740,St. Tammany Parish,2005,Black or African American alone,48540
741,St. Tammany Parish,2006,Black or African American alone,50066
742,St. Tammany Parish,2007,Black or African American alone,51774
743,St. Tammany Parish,2008,Black or African American alone,52846
744,St. Tammany Parish,2009,Black or African American alone,53370
745,St. Tammany Parish,2010,Black or African American alone,54502
746,St. Tammany Parish,2011,Black or African American alone,55060
747,St. Tammany Parish,2012,Black or African American alone,55780
748,St. Tammany Parish,2013,Black or African American alone,57290
749,St. Tammany Parish,2014,Black or African American alone,57908
750,St. Tammany Parish,2015,Black or African American alone,59270
751,St. Tammany Parish,2016,Black or African American alone,60780
752,St. Tammany Parish,2017,Black or African American alone,62954
753,St. Tammany Parish,2018,Black or African American alone,64688
754,St. Tammany Parish,2019,Black or African American alone,66752
755,St. Tammany Parish,2020,Black or African American alone,69368
756,Tangipahoa Parish,2000,Black or African American alone,57250
757,Tangipahoa Parish,2001,Black or African American alone,57836
758,Tangipahoa Parish,2002,Black or African American alone,58562
759,Tangipahoa Parish,2003,Black or African American alone,59620
760,Tangipahoa Parish,2004,Black or African American alone,60784
761,Tangipahoa Parish,2005,Black or African American alone,62054
762,Tangipahoa Parish,2006,Black or African American alone,67860
763,Tangipahoa Parish,2007,Black or African American alone,70270
764,Tangipahoa Parish,2008,Black or African American alone,71534
765,Tangipahoa Parish,2009,Black or African American alone,72566
766,Tangipahoa Parish,2010,Black or African American alone,73832
767,Tangipahoa Parish,2011,Black or African American alone,74620
768,Tangipahoa Parish,2012,Black or African American alone,75048
769,Tangipahoa Parish,2013,Black or African American alone,76094
770,Tangipahoa Parish,2014,Black or African American alone,77166
771,Tangipahoa Parish,2015,Black or African American alone,78292
772,Tangipahoa Parish,2016,Black or African American alone,79602
773,Tangipahoa Parish,2017,Black or African American alone,80952
774,Tangipahoa Parish,2018,Black or African American alone,81778
775,Tangipahoa Parish,2019,Black or African American alone,82420
776,Tangipahoa Parish,2020,Black or African American alone,83592
777,Washington Parish,2000,Black or African American alone,27792
778,Washington Parish,2001,Black or African American alone,27620
779,Washington Parish,2002,Black or African American alone,27670
780,Washington Parish,2003,Black or African American alone,27626
781,Washington Parish,2004,Black or African American alone,27618
782,Washington Parish,2005,Black or African American alone,27620
783,Washington Parish,2006,Black or African American alone,28430
784,Washington Parish,2007,Black or African American alone,29316
785,Washington Parish,2008,Black or African American alone,29606
786,Washington Parish,2009,Black or African American alone,29286
787,Washington Parish,2010,Black or African American alone,29254
788,Washington Parish,2011,Black or African American alone,29160
789,Washington Parish,2012,Black or African American alone,28742
790,Washington Parish,2013,Black or African American alone,28292
791,Washington Parish,2014,Black or African American alone,28432
792,Washington Parish,2015,Black or African American alone,28474
793,Washington Parish,2016,Black or African American alone,28528
794,Washington Parish,2017,Black or African American alone,28642
795,Washington Parish,2018,Black or African American alone,28390
796,Washington Parish,2019,Black or African American alone,28114
797,Washington Parish,2020,Black or African American alone,27934
798,West Baton Rouge Parish,2000,Black or African American alone,15404
799,West Baton Rouge Parish,2001,Black or African American alone,15618
800,West Baton Rouge Parish,2002,Black or African American alone,15708
801,West Baton Rouge Parish,2003,Black or African American alone,15656
802,West Baton Rouge Parish,2004,Black or African American alone,15942
803,West Baton Rouge Parish,2005,Black or African American alone,15966
804,West Baton Rouge Parish,2006,Black or African American alone,17100
805,West Baton Rouge Parish,2007,Black or African American alone,17492
806,West Baton Rouge Parish,2008,Black or African American alone,17558
807,West Baton Rouge Parish,2009,Black or African American alone,17608
808,West Baton Rouge Parish,2010,Black or African American alone,18158
809,West Baton Rouge Parish,2011,Black or African American alone,18306
810,West Baton Rouge Parish,2012,Black or African American alone,18144
811,West Baton Rouge Parish,2013,Black or African American alone,18696
812,West Baton Rouge Parish,2014,Black or African American alone,19346
813,West Baton Rouge Parish,2015,Black or African American alone,19862
814,West Baton Rouge Parish,2016,Black or African American alone,20244
815,West Baton Rouge Parish,2017,Black or African American alone,20592
816,West Baton Rouge Parish,2018,Black or African American alone,20994
817,West Baton Rouge Parish,2019,Black or African American alone,21218
818,West Baton Rouge Parish,2020,Black or African American alone,21608
819,West Feliciana Parish,2000,Black or African American alone,15284
820,West Feliciana Parish,2001,Black or African American alone,15246
821,West Feliciana Parish,2002,Black or African American alone,15142
822,West Feliciana Parish,2003,Black or African American alone,15072
823,West Feliciana Parish,2004,Black or African American alone,14952
824,West Feliciana Parish,2005,Black or African American alone,14842
825,West Feliciana Parish,2006,Black or African American alone,15158
826,West Feliciana Parish,2007,Black or African American alone,14856
827,West Feliciana Parish,2008,Black or African American alone,14920
828,West Feliciana Parish,2009,Black or African American alone,14626
829,West Feliciana Parish,2010,Black or African American alone,14564
830,West Feliciana Parish,2011,Black or African American alone,14346
831,West Feliciana Parish,2012,Black or African American alone,14206
832,West Feliciana Parish,2013,Black or African American alone,14174
833,West Feliciana Parish,2014,Black or African American alone,14098
834,West Feliciana Parish,2015,Black or African American alone,13988
835,West Feliciana Parish,2016,Black or African American alone,13968
836,West Feliciana Parish,2017,Black or African American alone,13766
837,West Feliciana Parish,2018,Black or African American alone,13762
838,West Feliciana Parish,2019,Black or African American alone,13790
839,West Feliciana Parish,2020,Black or African American alone,13696
840,Ascension Parish,2000,American Indian and Alaska Native alone,438
841,Ascension Parish,2001,American Indian and Alaska Native alone,486
842,Ascension Parish,2002,American Indian and Alaska Native alone,534
843,Ascension Parish,2003,American Indian and Alaska Native alone,580
844,Ascension Parish,2004,American Indian and Alaska Native alone,538
845,Ascension Parish,2005,American Indian and Alaska Native alone,594
846,Ascension Parish,2006,American Indian and Alaska Native alone,620
847,Ascension Parish,2007,American Indian and Alaska Native alone,708
848,Ascension Parish,2008,American Indian and Alaska Native alone,690
849,Ascension Parish,2009,American Indian and Alaska Native alone,796
850,Ascension Parish,2010,American Indian and Alaska Native alone,784
851,Ascension Parish,2011,American Indian and Alaska Native alone,806
852,Ascension Parish,2012,American Indian and Alaska Native alone,902
853,Ascension Parish,2013,American Indian and Alaska Native alone,912
854,Ascension Parish,2014,American Indian and Alaska Native alone,1030
855,Ascension Parish,2015,American Indian and Alaska Native alone,1096
856,Ascension Parish,2016,American Indian and Alaska Native alone,1108
857,Ascension Parish,2017,American Indian and Alaska Native alone,1174
858,Ascension Parish,2018,American Indian and Alaska Native alone,1190
859,Ascension Parish,2019,American Indian and Alaska Native alone,1154
860,Ascension Parish,2020,American Indian and Alaska Native alone,1202
861,Caddo Parish,2000,American Indian and Alaska Native alone,2024
862,Caddo Parish,2001,American Indian and Alaska Native alone,2120
863,Caddo Parish,2002,American Indian and Alaska Native alone,2112
864,Caddo Parish,2003,American Indian and Alaska Native alone,2104
865,Caddo Parish,2004,American Indian and Alaska Native alone,2174
866,Caddo Parish,2005,American Indian and Alaska Native alone,2206
867,Caddo Parish,2006,American Indian and Alaska Native alone,2256
868,Caddo Parish,2007,American Indian and Alaska Native alone,2278
869,Caddo Parish,2008,American Indian and Alaska Native alone,2378
870,Caddo Parish,2009,American Indian and Alaska Native alone,2340
871,Caddo Parish,2010,American Indian and Alaska Native alone,2404
872,Caddo Parish,2011,American Indian and Alaska Native alone,2388
873,Caddo Parish,2012,American Indian and Alaska Native alone,2434
874,Caddo Parish,2013,American Indian and Alaska Native alone,2384
875,Caddo Parish,2014,American Indian and Alaska Native alone,2376
876,Caddo Parish,2015,American Indian and Alaska Native alone,2424
877,Caddo Parish,2016,American Indian and Alaska Native alone,2434
878,Caddo Parish,2017,American Indian and Alaska Native alone,2470
879,Caddo Parish,2018,American Indian and Alaska Native alone,2476
880,Caddo Parish,2019,American Indian and Alaska Native alone,2390
881,Caddo Parish,2020,American Indian and Alaska Native alone,2470
882,East Baton Rouge Parish,2000,American Indian and Alaska Native alone,1776
883,East Baton Rouge Parish,2001,American Indian and Alaska Native alone,1936
884,East Baton Rouge Parish,2002,American Indian and Alaska Native alone,2046
885,East Baton Rouge Parish,2003,American Indian and Alaska Native alone,2140
886,East Baton Rouge Parish,2004,American Indian and Alaska Native alone,2178
887,East Baton Rouge Parish,2005,American Indian and Alaska Native alone,2276
888,East Baton Rouge Parish,2006,American Indian and Alaska Native alone,2296
889,East Baton Rouge Parish,2007,American Indian and Alaska Native alone,2356
890,East Baton Rouge Parish,2008,American Indian and Alaska Native alone,2500
891,East Baton Rouge Parish,2009,American Indian and Alaska Native alone,2548
892,East Baton Rouge Parish,2010,American Indian and Alaska Native alone,2678
893,East Baton Rouge Parish,2011,American Indian and Alaska Native alone,2532
894,East Baton Rouge Parish,2012,American Indian and Alaska Native alone,2480
895,East Baton Rouge Parish,2013,American Indian and Alaska Native alone,2554
896,East Baton Rouge Parish,2014,American Indian and Alaska Native alone,2508
897,East Baton Rouge Parish,2015,American Indian and Alaska Native alone,2500
898,East Baton Rouge Parish,2016,American Indian and Alaska Native alone,2502
899,East Baton Rouge Parish,2017,American Indian and Alaska Native alone,2492
900,East Baton Rouge Parish,2018,American Indian and Alaska Native alone,2420
901,East Baton Rouge Parish,2019,American Indian and Alaska Native alone,2356
902,East Baton Rouge Parish,2020,American Indian and Alaska Native alone,2342
903,East Feliciana Parish,2000,American Indian and Alaska Native alone,70
904,East Feliciana Parish,2001,American Indian and Alaska Native alone,70
905,East Feliciana Parish,2002,American Indian and Alaska Native alone,74
906,East Feliciana Parish,2003,American Indian and Alaska Native alone,78
907,East Feliciana Parish,2004,American Indian and Alaska Native alone,82
908,East Feliciana Parish,2005,American Indian and Alaska Native alone,102
909,East Feliciana Parish,2006,American Indian and Alaska Native alone,100
910,East Feliciana Parish,2007,American Indian and Alaska Native alone,118
911,East Feliciana Parish,2008,American Indian and Alaska Native alone,122
912,East Feliciana Parish,2009,American Indian and Alaska Native alone,128
913,East Feliciana Parish,2010,American Indian and Alaska Native alone,126
914,East Feliciana Parish,2011,American Indian and Alaska Native alone,134
915,East Feliciana Parish,2012,American Indian and Alaska Native alone,144
916,East Feliciana Parish,2013,American Indian and Alaska Native alone,138
917,East Feliciana Parish,2014,American Indian and Alaska Native alone,144
918,East Feliciana Parish,2015,American Indian and Alaska Native alone,170
919,East Feliciana Parish,2016,American Indian and Alaska Native alone,182
920,East Feliciana Parish,2017,American Indian and Alaska Native alone,174
921,East Feliciana Parish,2018,American Indian and Alaska Native alone,180
922,East Feliciana Parish,2019,American Indian and Alaska Native alone,188
923,East Feliciana Parish,2020,American Indian and Alaska Native alone,190
924,Iberville Parish,2000,American Indian and Alaska Native alone,118
925,Iberville Parish,2001,American Indian and Alaska Native alone,120
926,Iberville Parish,2002,American Indian and Alaska Native alone,118
927,Iberville Parish,2003,American Indian and Alaska Native alone,124
928,Iberville Parish,2004,American Indian and Alaska Native alone,128
929,Iberville Parish,2005,American Indian and Alaska Native alone,120
930,Iberville Parish,2006,American Indian and Alaska Native alone,110
931,Iberville Parish,2007,American Indian and Alaska Native alone,118
932,Iberville Parish,2008,American Indian and Alaska Native alone,122
933,Iberville Parish,2009,American Indian and Alaska Native alone,120
934,Iberville Parish,2010,American Indian and Alaska Native alone,118
935,Iberville Parish,2011,American Indian and Alaska Native alone,142
936,Iberville Parish,2012,American Indian and Alaska Native alone,150
937,Iberville Parish,2013,American Indian and Alaska Native alone,150
938,Iberville Parish,2014,American Indian and Alaska Native alone,154
939,Iberville Parish,2015,American Indian and Alaska Native alone,168
940,Iberville Parish,2016,American Indian and Alaska Native alone,188
941,Iberville Parish,2017,American Indian and Alaska Native alone,200
942,Iberville Parish,2018,American Indian and Alaska Native alone,200
943,Iberville Parish,2019,American Indian and Alaska Native alone,218
944,Iberville Parish,2020,American Indian and Alaska Native alone,232
945,Jefferson Parish,2000,American Indian and Alaska Native alone,4430
946,Jefferson Parish,2001,American Indian and Alaska Native alone,4516
947,Jefferson Parish,2002,American Indian and Alaska Native alone,4480
948,Jefferson Parish,2003,American Indian and Alaska Native alone,4646
949,Jefferson Parish,2004,American Indian and Alaska Native alone,4834
950,Jefferson Parish,2005,American Indian and Alaska Native alone,4902
951,Jefferson Parish,2006,American Indian and Alaska Native alone,4560
952,Jefferson Parish,2007,American Indian and Alaska Native alone,4814
953,Jefferson Parish,2008,American Indian and Alaska Native alone,4968
954,Jefferson Parish,2009,American Indian and Alaska Native alone,5054
955,Jefferson Parish,2010,American Indian and Alaska Native alone,5158
956,Jefferson Parish,2011,American Indian and Alaska Native alone,5188
957,Jefferson Parish,2012,American Indian and Alaska Native alone,5400
958,Jefferson Parish,2013,American Indian and Alaska Native alone,5590
959,Jefferson Parish,2014,American Indian and Alaska Native alone,5704
960,Jefferson Parish,2015,American Indian and Alaska Native alone,5656
961,Jefferson Parish,2016,American Indian and Alaska Native alone,5730
962,Jefferson Parish,2017,American Indian and Alaska Native alone,5770
963,Jefferson Parish,2018,American Indian and Alaska Native alone,5738
964,Jefferson Parish,2019,American Indian and Alaska Native alone,5618
965,Jefferson Parish,2020,American Indian and Alaska Native alone,5524
966,Livingston Parish,2000,American Indian and Alaska Native alone,688
967,Livingston Parish,2001,American Indian and Alaska Native alone,760
968,Livingston Parish,2002,American Indian and Alaska Native alone,804
969,Livingston Parish,2003,American Indian and Alaska Native alone,820
970,Livingston Parish,2004,American Indian and Alaska Native alone,828
971,Livingston Parish,2005,American Indian and Alaska Native alone,874
972,Livingston Parish,2006,American Indian and Alaska Native alone,882
973,Livingston Parish,2007,American Indian and Alaska Native alone,956
974,Livingston Parish,2008,American Indian and Alaska Native alone,1032
975,Livingston Parish,2009,American Indian and Alaska Native alone,1022
976,Livingston Parish,2010,American Indian and Alaska Native alone,1088
977,Livingston Parish,2011,American Indian and Alaska Native alone,1124
978,Livingston Parish,2012,American Indian and Alaska Native alone,1144
979,Livingston Parish,2013,American Indian and Alaska Native alone,1220
980,Livingston Parish,2014,American Indian and Alaska Native alone,1222
981,Livingston Parish,2015,American Indian and Alaska Native alone,1254
982,Livingston Parish,2016,American Indian and Alaska Native alone,1320
983,Livingston Parish,2017,American Indian and Alaska Native alone,1250
984,Livingston Parish,2018,American Indian and Alaska Native alone,1322
985,Livingston Parish,2019,American Indian and Alaska Native alone,1300
986,Livingston Parish,2020,American Indian and Alaska Native alone,1376
987,Orleans Parish,2000,American Indian and Alaska Native alone,2192
988,Orleans Parish,2001,American Indian and Alaska Native alone,2192
989,Orleans Parish,2002,American Indian and Alaska Native alone,2274
990,Orleans Parish,2003,American Indian and Alaska Native alone,2398
991,Orleans Parish,2004,American Indian and Alaska Native alone,2578
992,Orleans Parish,2005,American Indian and Alaska Native alone,2682
993,Orleans Parish,2006,American Indian and Alaska Native alone,1758
994,Orleans Parish,2007,American Indian and Alaska Native alone,1996
995,Orleans Parish,2008,American Indian and Alaska Native alone,2154
996,Orleans Parish,2009,American Indian and Alaska Native alone,2294
997,Orleans Parish,2010,American Indian and Alaska Native alone,2518
998,Orleans Parish,2011,American Indian and Alaska Native alone,2442
999,Orleans Parish,2012,American Indian and Alaska Native alone,2528
1000,Orleans Parish,2013,American Indian and Alaska Native alone,2680
1001,Orleans Parish,2014,American Indian and Alaska Native alone,2674
1002,Orleans Parish,2015,American Indian and Alaska Native alone,2648
1003,Orleans Parish,2016,American Indian and Alaska Native alone,2574
1004,Orleans Parish,2017,American Indian and Alaska Native alone,2658
1005,Orleans Parish,2018,American Indian and Alaska Native alone,2696
1006,Orleans Parish,2019,American Indian and Alaska Native alone,2732
1007,Orleans Parish,2020,American Indian and Alaska Native alone,2724
1008,Plaquemines Parish,2000,American Indian and Alaska Native alone,1150
1009,Plaquemines Parish,2001,American Indian and Alaska Native alone,1108
1010,Plaquemines Parish,2002,American Indian and Alaska Native alone,1092
1011,Plaquemines Parish,2003,American Indian and Alaska Native alone,1068
1012,Plaquemines Parish,2004,American Indian and Alaska Native alone,1052
1013,Plaquemines Parish,2005,American Indian and Alaska Native alone,998
1014,Plaquemines Parish,2006,American Indian and Alaska Native alone,900
1015,Plaquemines Parish,2007,American Indian and Alaska Native alone,852
1016,Plaquemines Parish,2008,American Indian and Alaska Native alone,846
1017,Plaquemines Parish,2009,American Indian and Alaska Native alone,878
1018,Plaquemines Parish,2010,American Indian and Alaska Native alone,812
1019,Plaquemines Parish,2011,American Indian and Alaska Native alone,838
1020,Plaquemines Parish,2012,American Indian and Alaska Native alone,852
1021,Plaquemines Parish,2013,American Indian and Alaska Native alone,824
1022,Plaquemines Parish,2014,American Indian and Alaska Native alone,812
1023,Plaquemines Parish,2015,American Indian and Alaska Native alone,852
1024,Plaquemines Parish,2016,American Indian and Alaska Native alone,846
1025,Plaquemines Parish,2017,American Indian and Alaska Native alone,868
1026,Plaquemines Parish,2018,American Indian and Alaska Native alone,844
1027,Plaquemines Parish,2019,American Indian and Alaska Native alone,860
1028,Plaquemines Parish,2020,American Indian and Alaska Native alone,820
1029,Pointe Coupee Parish,2000,American Indian and Alaska Native alone,78
1030,Pointe Coupee Parish,2001,American Indian and Alaska Native alone,78
1031,Pointe Coupee Parish,2002,American Indian and Alaska Native alone,76
1032,Pointe Coupee Parish,2003,American Indian and Alaska Native alone,72
1033,Pointe Coupee Parish,2004,American Indian and Alaska Native alone,74
1034,Pointe Coupee Parish,2005,American Indian and Alaska Native alone,64
1035,Pointe Coupee Parish,2006,American Indian and Alaska Native alone,60
1036,Pointe Coupee Parish,2007,American Indian and Alaska Native alone,56
1037,Pointe Coupee Parish,2008,American Indian and Alaska Native alone,60
1038,Pointe Coupee Parish,2009,American Indian and Alaska Native alone,62
1039,Pointe Coupee Parish,2010,American Indian and Alaska Native alone,70
1040,Pointe Coupee Parish,2011,American Indian and Alaska Native alone,96
1041,Pointe Coupee Parish,2012,American Indian and Alaska Native alone,86
1042,Pointe Coupee Parish,2013,American Indian and Alaska Native alone,92
1043,Pointe Coupee Parish,2014,American Indian and Alaska Native alone,106
1044,Pointe Coupee Parish,2015,American Indian and Alaska Native alone,100
1045,Pointe Coupee Parish,2016,American Indian and Alaska Native alone,114
1046,Pointe Coupee Parish,2017,American Indian and Alaska Native alone,114
1047,Pointe Coupee Parish,2018,American Indian and Alaska Native alone,126
1048,Pointe Coupee Parish,2019,American Indian and Alaska Native alone,134
1049,Pointe Coupee Parish,2020,American Indian and Alaska Native alone,126
1050,St. Bernard Parish,2000,American Indian and Alaska Native alone,670
1051,St. Bernard Parish,2001,American Indian and Alaska Native alone,636
1052,St. Bernard Parish,2002,American Indian and Alaska Native alone,638
1053,St. Bernard Parish,2003,American Indian and Alaska Native alone,644
1054,St. Bernard Parish,2004,American Indian and Alaska Native alone,616
1055,St. Bernard Parish,2005,American Indian and Alaska Native alone,646
1056,St. Bernard Parish,2006,American Indian and Alaska Native alone,528
1057,St. Bernard Parish,2007,American Indian and Alaska Native alone,558
1058,St. Bernard Parish,2008,American Indian and Alaska Native alone,568
1059,St. Bernard Parish,2009,American Indian and Alaska Native alone,598
1060,St. Bernard Parish,2010,American Indian and Alaska Native alone,598
1061,St. Bernard Parish,2011,American Indian and Alaska Native alone,644
1062,St. Bernard Parish,2012,American Indian and Alaska Native alone,680
1063,St. Bernard Parish,2013,American Indian and Alaska Native alone,690
1064,St. Bernard Parish,2014,American Indian and Alaska Native alone,760
1065,St. Bernard Parish,2015,American Indian and Alaska Native alone,768
1066,St. Bernard Parish,2016,American Indian and Alaska Native alone,808
1067,St. Bernard Parish,2017,American Indian and Alaska Native alone,816
1068,St. Bernard Parish,2018,American Indian and Alaska Native alone,840
1069,St. Bernard Parish,2019,American Indian and Alaska Native alone,894
1070,St. Bernard Parish,2020,American Indian and Alaska Native alone,922
1071,St. Charles Parish,2000,American Indian and Alaska Native alone,246
1072,St. Charles Parish,2001,American Indian and Alaska Native alone,278
1073,St. Charles Parish,2002,American Indian and Alaska Native alone,304
1074,St. Charles Parish,2003,American Indian and Alaska Native alone,288
1075,St. Charles Parish,2004,American Indian and Alaska Native alone,294
1076,St. Charles Parish,2005,American Indian and Alaska Native alone,320
1077,St. Charles Parish,2006,American Indian and Alaska Native alone,322
1078,St. Charles Parish,2007,American Indian and Alaska Native alone,338
1079,St. Charles Parish,2008,American Indian and Alaska Native alone,344
1080,St. Charles Parish,2009,American Indian and Alaska Native alone,364
1081,St. Charles Parish,2010,American Indian and Alaska Native alone,374
1082,St. Charles Parish,2011,American Indian and Alaska Native alone,422
1083,St. Charles Parish,2012,American Indian and Alaska Native alone,438
1084,St. Charles Parish,2013,American Indian and Alaska Native alone,456
1085,St. Charles Parish,2014,American Indian and Alaska Native alone,460
1086,St. Charles Parish,2015,American Indian and Alaska Native alone,452
1087,St. Charles Parish,2016,American Indian and Alaska Native alone,430
1088,St. Charles Parish,2017,American Indian and Alaska Native alone,454
1089,St. Charles Parish,2018,American Indian and Alaska Native alone,458
1090,St. Charles Parish,2019,American Indian and Alaska Native alone,474
1091,St. Charles Parish,2020,American Indian and Alaska Native alone,516
1092,St. Helena Parish,2000,American Indian and Alaska Native alone,20
1093,St. Helena Parish,2001,American Indian and Alaska Native alone,20
1094,St. Helena Parish,2002,American Indian and Alaska Native alone,24
1095,St. Helena Parish,2003,American Indian and Alaska Native alone,28
1096,St. Helena Parish,2004,American Indian and Alaska Native alone,30
1097,St. Helena Parish,2005,American Indian and Alaska Native alone,66
1098,St. Helena Parish,2006,American Indian and Alaska Native alone,68
1099,St. Helena Parish,2007,American Indian and Alaska Native alone,70
1100,St. Helena Parish,2008,American Indian and Alaska Native alone,74
1101,St. Helena Parish,2009,American Indian and Alaska Native alone,74
1102,St. Helena Parish,2010,American Indian and Alaska Native alone,80
1103,St. Helena Parish,2011,American Indian and Alaska Native alone,84
